attributes;image_url;unit;category;article;sale_price;price;name;url;weight
Белки: ;/imgs/products_w/12702/svecha-matovaya-alexandra-1.1630676217.JPG;шт;Свечи и диффузоры;12702;;1150.5;Свеча Flame Moscow матовая Alexandra, 110 мл;svecha-matovaya-alexandra.html;1
Белки: 18.63;/imgs/products_w/927/kurica-dlya-zharki-ecomarket-ru---1-8-kg-1.jpg;кг;Птица и дичь;927;;839.5;Курица для жарки Халяль Ecomarket.ru ~ 2,3 кг;kurica-dlya-zharki-ecomarket-ru-ohl----2-3-kg.html;2.3
Белки: ;/imgs/products_w/12976/q03-00416r-kovsh-moon-so-steklyannoy-kryshkoy-i-metallicheskimi-ruchkami--diametr-16-sm--obem-1-4-l--1.JPG;шт;Посуда  | Для кухни;12976;;2642.5;Ковш Moon со стеклянной крышкой и металлическими ручками, Guffman - диаметр 16 см, объем 1,4 л;q03-00416r-kovsh-moon-so-steklyannoy-kryshkoy-i-metallicheskimi-ruchkami--diametr-16-sm--obem-1-4-l-.html;1
Белки: 28,5;/imgs/products_w/13744/syr-sernurskaya-kachotta-iz-korovego-moloka-50----1-kg-1.jpg;кг;Сыры ;13744;;1759.92;Сыр Сернурская качотта из коровьего молока 50% Ecomarket.ru ~ 800г;syr-sernurskaya-kachotta-iz-korovego-moloka-50----800g.html;0.8
Белки: ;/imgs/products_w/12977/q03-00518r-kastryulya-moon-so-steklyannoy-kryshkoy-i-metallicheskimi-ruchkami--diametr-18-sm--obem-2-0-l--1.JPG;шт;Посуда  | Для кухни;12977;;2908.16;Кастрюля Moon со стеклянной крышкой и металлическими ручками, Guffman - диаметр 18 см, объем 2 л;q03-00518r-kastryulya-moon-so-steklyannoy-kryshkoy-i-metallicheskimi-ruchkami--diametr-18-sm--obem-2-0-l-.html;1
Белки: ;/imgs/products_w/12978/q03-00620r-kastryulya-moon-so-steklyannoy-kryshkoy-i-metallicheskimi-ruchkami--guffman---diametr-20-sm--ob-1.JPG;шт;Посуда  | Для кухни;12978;;3244.61;Кастрюля Moon со стеклянной крышкой и металлическими ручками, Guffman - диаметр 20 см, объем 2,8 л;q03-00620r-kastryulya-moon-so-steklyannoy-kryshkoy-i-metallicheskimi-ruchkami--guffman---diametr-20-sm--ob.html;1
Белки: ;/imgs/products_w/12979/q03-00722r-kastryulya-moon-so-steklyannoy-kryshkoy-i-metallicheskimi-ruchkami--diametr-22-sm--obem-3-7-l--1.JPG;шт;Посуда  | Для кухни;12979;;3611.98;Кастрюля Moon со стеклянной крышкой и металлическими ручками, Guffman - диаметр 22 см, объем 3,7 л;q03-00722r-kastryulya-moon-so-steklyannoy-kryshkoy-i-metallicheskimi-ruchkami--diametr-22-sm--obem-3-7-l-.html;1
Белки: 7,21;/imgs/products_w/6598/ekoburger-s-govyadinoy-na-2-burgera-ecomarket-ru-1.jpeg;шт;Только приготовить ;6598;;675.8;ЭкоБургер с говядиной на 2 бургера Ecomarket.ru;ekoburger-s-govyadinoy-na-2-burgera-ecomarket-ru.html;1
Белки: 12;/imgs/products_w/4572/pashtet-iz-kurinoy-pecheni-argeta---95-g-1.jpg;шт;Паштеты и консервы;4572;;119.9;Паштет из куриной печени Argeta Халяль ~ 95 г;pashtet-iz-kurinoy-pecheni-argeta---95-g.html;1
Белки: 1;/imgs/products_w/10482/golubika--b-z--300-g--1.jpg;шт;Фрукты и ягоды;10482;;209.9;Голубика зам. Ecomarket.ru  -  300 г;golubika--b-z--300-g-.html;1
Белки: ;/imgs/products_w/13354/biologicheski-aktivnaya-dobavka-k-pische-botanik-kalm-drops-1.1631523960.jpg;шт;Суперфуды и протеины ;13354;;578.5;Биологически активная добавка к пище Ботаник Калм Дропс;biologicheski-aktivnaya-dobavka-k-pische-botanik-kalm-drops.html;1
Белки: ;/imgs/products_w/10314/kurica-domashnyaya--potroshenaya-1-sorta--1.jpeg;кг;Птица и дичь;10314;;1188;Курица домашняя Халяль с/м - 2 кг;kurica-domashnyaya-halyal-potroshenaya-1-sorta-.html;2
Белки: ;/imgs/products_w/7761/zubnaya-schetka-izognutaya-dlya-kompleksnoy-zaschity-sredney-zhestkosti-biorepair--1.jpg;шт;Уход за полостью рта;7761;;415.6;Зубная щетка изогнутая для комплексной защиты Biorepair CURVE Protezione;zubnaya-schetka-izognutaya-dlya-kompleksnoy-zaschity-biorepair-curve-protezione.html;1
Белки: ;/imgs/products_w/13974/ikra-gorbushi-slabosolenaya--miss-kamchatka---230-g-1.jpeg;шт;Икра;13974;;1995.8;Икра горбуши слабосоленая без консервантов - 230г;ikra-gorbushi-slabosolenaya--miss-kamchatka---230-g.html;1
Белки: ;/imgs/products_w/12705/svecha-v-farfore-ines--1.1631000278.JPG;шт;Свечи и диффузоры;12705;;2200.5;Свеча Flame Moscow в фарфоре Ines, 250 мл;svecha-v-farfore-ines-.html;1
Белки: 21,9;/imgs/products_w/13746/syr-suluguni-iz-korovego-moloka-45----300-g-1.jpg;кг;Сыры ;13746;;479.97;Сыр Сулугуни из коровьего молока 45% Ecomarket.ru ~ 300 г;syr-suluguni-iz-korovego-moloka-45----300-g.html;0.3
